x,y,z
2250,2420,637.868526
2250,2420,1362.973742
2250,2420,8.50625
2250,2420,1005.789473
2250,2420,316.568242
2250,2420,1183.534994
2250,2420,810.491499
2250,2420,516.305575
2250,2420,130.832224
2250,2420,416.222424
2250,2420,912.476965
2250,2420,1273.586828
2250,2420,1092.903946
2250,2420,215.24586
2250,2420,735.77907
2250,2420,73.886167
2250,2420,578.884722
2250,2420,367.251577
2250,2420,960.915117
2250,2420,688.688052
2250,2420,860.505525
2250,2420,461.810455
2250,2420,1227.220549
2250,2420,1132.475038
2250,2420,1321.49186
2250,2420,258.602825
2250,2420,174.909552
2250,2420,1033.600483
2250,2420,101.79767
2250,2420,1066.615635
2250,2420,34.943268
2250,2420,548.810816
2250,2420,778.694014
2250,2420,287.343674
2250,2420,612.541975
2250,2420,1297.049518
2250,2420,1155.406246
2250,2420,661.102873
2250,2420,391.387055
2250,2420,837.171827
2250,2420,340.909344
2250,2420,936.556829
2250,2420,886.649433
2250,2420,482.864668
2250,2420,709.772531
2250,2420.0,983.552065
2250,2420,238.911288
2250,2420,1247.010713
2250,2420,1111.696025
2250,2420,196.002493
2250,2420,759.953077
2250,2420,54.702214
2250,2420,443.102245
2250,2420,499.927263
2250,2420,1202.364017
2250,2420,1341.176563
2250,2420,1050.115828
2250,2420,149.141983
2250,2420,795.753401
2250,2420,529.008379
2250,2420,429.774394
2250,2420,1078.906084
2250,2420,566.949326
2250,2420,87.969452
2250,2420,899.449387
2250,2420,380.110145
2250,2420,275.660195
2250,2420,593.412964
2250,2420,115.658114
2250,2420,303.115856
2250,2420,20.82287
2250,2420,824.29253
2250,2420,676.608441
2250,2420,626.02272
2250,2420,404.859285
2250,2420,1213.20939
2250,2420,1168.814663
2250,2420,1308.870106
2250,2420,1019.540726
2250,2420,849.942392
2250,2420,949.806132
2250,2420,874.348719
2250,2420,972.060218
2250,2420,352.927482
2250,2420,1284.346391
2250,2420,1260.685814
2250,2420,924.477541
2250,2420,1333.670752
2250,2420,722.333743
2250,2420,227.500866
2250,2420,329.747959
2250,2420,700.938409
2250,2420,750.785732
2250,2420,649.233592
2250,2420,1348.869741
2250,2420,1103.666525
2250,2420,183.201223
